modelID,RMSD,lddt,pcons,proq4,dan,seqlength,tmalign
DP01765r001_5,10.24,0.3794,0.257,0.246,0.358,139,0.17715
DP00091r001_1,20.95,0.1363,0.567,0.401,0.531,84,0.17723
DP01339r001_5,24.74,0.189,0.273,0.289,0.233,73,0.17728
DP01135r001_1,14.25,0.53,0.481,0.359,0.312,153,0.17744
DP01593r002_4,41.97,0.3041,0.29,0.369,0.24,140,0.17787
DP00753r001_1,17.32,0.169,0.975,0.652,0.61,81,0.17793
DP02481r002_3,28.27,0.1186,0.377,0.384,0.184,751,0.17832
DP00808r001_5,9.36,0.4058,0.55,0.23,0.461,51,0.17851
DP01135r001_5,13.74,0.5386,0.51,0.378,0.324,153,0.17851
DP01765r001_1,8.64,0.3841,0.312,0.267,0.358,139,0.17938
DP00721r001_5,21.97,0.5537,0.264,0.289,0.328,156,0.17951
DP01102r009_1,6.69,0.3577,0,0.285,0.164,526,0.17958
DP01524r001_4,20.37,0.1883,0.405,0.133,0.349,41,0.17972
DP01765r001_4,8.78,0.3771,0.315,0.262,0.379,139,0.17998
DP01068r001_3,16.79,0.1434,0.694,0.418,0.309,119,0.17999
DP01426r018_2,9.85,0.2175,0.659,0.355,0.24,143,0.18045
DP00111r001_1,12.43,0.1646,0.272,0.159,0.359,58,0.18053
DP02508r001_2,27.84,0.1684,0.321,0.347,0.326,282,0.18118
DP02879r007_1,22.82,0.07665,0.298,0.353,0.22,260,0.18138
DP02487r001_1,3.77,0.3488,0,0.366,0.252,288,0.18161
DP02025r001_2,11.6,0.2302,0.957,0.628,0.532,105,0.18176
DP02513r001_2,19.72,0.0968,0.122,0.324,0.101,1408,0.18183
DP00791r003_1,6.36,0.266,0.471,0.129,0.457,26,0.18223
DP01765r001_3,9.57,0.3915,0.233,0.302,0.332,139,0.18245
DP01593r002_2,38.63,0.3041,0.243,0.347,0.231,140,0.18263
DP02879r007_4,22.85,0.0801,0.276,0.384,0.224,260,0.18263
DP01503r001_1,20.74,0.3172,0.116,0.3,0.34,74,0.18292
DP02025r001_5,11.61,0.2311,0.948,0.649,0.532,105,0.18301
DP02025r001_4,11.62,0.2304,0.952,0.645,0.52,105,0.18306
DP01524r001_2,18.28,0.2027,0.413,0.135,0.341,41,0.18308
DP00749r004_4,6.94,0.4036,0.497,0.143,0.67,33,0.1831
DP00749r004_5,4.18,0.5055,0.477,0.149,0.479,33,0.18319
DP01052r001_5,14.58,0.3359,0.403,0.33,0.383,61,0.1832
DP00134r001_1,9.55,0.0231,0.774,0.392,0.378,142,0.18322
DP01135r001_3,14.21,0.5315,0.498,0.336,0.343,153,0.18362
DP02025r001_3,11.62,0.2295,0.955,0.64,0.552,105,0.18368
DP01456r001_3,17.23,0.1002,0.552,0.607,0.338,115,0.1838
DP00721r001_4,19.99,0.5598,0.246,0.286,0.304,156,0.18381
DP00720r001_5,12.47,0.1308,0.514,0.304,0.403,82,0.18384
DP01456r001_1,17.06,0.1037,0.556,0.59,0.346,115,0.18394
DP02025r001_1,11.65,0.2318,0.953,0.64,0.554,105,0.184
DP00134r001_3,9.17,0.0237,0.764,0.377,0.38,142,0.18401
DP00749r004_1,6.76,0.3766,0.339,0.124,0.576,33,0.18403
DP02879r007_5,23.84,0.0788,0.263,0.389,0.24,260,0.18435
DP01747r001_5,28.33,0.2917,0.315,0.276,0.322,86,0.1848
DP01852r001_5,4.48,0.3916,0,0.357,0.263,172,0.18485
DP01456r001_4,17.04,0.1027,0.543,0.588,0.368,115,0.18502
DP01052r001_3,14.5,0.3692,0.422,0.327,0.366,61,0.18504
DP01456r001_2,17.23,0.0963,0.552,0.58,0.342,115,0.18509
DP00749r004_3,4.24,0.5142,0.273,0.151,0.64,33,0.18521
DP01456r001_5,17.3,0.0945,0.554,0.588,0.344,115,0.18548
DP00978r005_3,32.11,0.0863,0.083,0.298,0.172,466,0.18553
DP01135r001_4,13.16,0.5374,0.45,0.306,0.356,153,0.18583
DP02312r001_3,15.32,0.365,0.771,0.309,0.424,73,0.18625
DP01832r001_4,9.89,0.531,0.548,0.388,0.41,82,0.1866
DP00091r001_2,19.99,0.1393,0.618,0.397,0.457,84,0.18678
DP02312r001_2,14.46,0.3689,0.632,0.299,0.457,73,0.18703
DP02476r007_3,13.27,0.0499,0.948,0.482,0.431,229,0.18706
DP01527r001_2,30.49,0.1704,0.46,0.549,0.372,56,0.18747
DP00721r001_1,21.3,0.5724,0.263,0.271,0.318,156,0.1875
DP01527r001_4,18.94,0.1761,0.468,0.552,0.36,56,0.18783
DP01527r001_5,18.36,0.177,0.472,0.555,0.375,56,0.18791
DP00091r001_5,19.67,0.1362,0.58,0.377,0.506,84,0.18793
DP00134r001_5,9.94,0.0233,0.785,0.406,0.397,142,0.18819
DP00721r001_2,18.3,0.5218,0.218,0.302,0.249,156,0.18866
DP01527r001_1,20.44,0.1831,0.469,0.555,0.363,56,0.18881
DP02312r001_4,15.45,0.3679,0.764,0.284,0.438,73,0.18921
DP02312r001_1,15.06,0.3662,0.842,0.313,0.428,73,0.18922
DP00065r004_5,30.86,0.0783,0.294,0.509,0.294,555,0.18953
DP01527r001_3,14.12,0.177,0.461,0.566,0.352,56,0.18981
DP01052r001_1,12.84,0.3375,0.324,0.428,0.393,61,0.19004
DP00721r001_3,14.45,0.5666,0.239,0.268,0.326,156,0.19085
DP02312r001_5,15.02,0.369,0.82,0.317,0.444,73,0.19103
DP01425r001_2,14.4,0.1921,0.187,0.321,0.219,111,0.19141
DP00134r001_2,9.7,0.0235,0.798,0.409,0.398,142,0.19205
DP00134r001_4,9.1,0.024,0.755,0.415,0.399,142,0.19225
DP01241r001_3,18.87,0.6481,0.31,0.315,0.287,136,0.19253
DP01832r001_3,11.71,0.5171,0.408,0.368,0.371,82,0.19291
DP00754r001_3,13.62,0.2442,0.413,0.214,0.447,33,0.193
DP01425r001_3,16.98,0.1802,0.224,0.264,0.227,111,0.19385
DP01135r001_2,13.59,0.5192,0.51,0.32,0.345,153,0.19457
DP01202r001_1,16.19,0.5562,0.504,0.307,0.283,125,0.19478
DP02879r009_1,13.15,0.1253,0.879,0.351,0.306,138,0.1971
DP02042r001_1,11.47,0.1664,0.531,0.206,0.419,54,0.19722
DP02879r009_3,13.04,0.1254,0.873,0.346,0.322,138,0.19725
DP02879r009_5,12.97,0.1269,0.82,0.356,0.292,138,0.19735
DP01832r001_1,12.05,0.5237,0.51,0.342,0.426,82,0.1975
DP02879r007_3,21.91,0.0808,0.188,0.401,0.224,260,0.19754
DP00541r001_4,7.81,0.5113,0,0.273,0.2,257,0.19772
DP01852r001_1,5.42,0.4226,0,0.342,0.267,172,0.19798
DP00851r001_2,15.47,0.3525,0.552,0.167,0.528,80,0.19803
DP00851r001_5,16.34,0.3482,0.431,0.175,0.483,80,0.19809
DP00977r001_4,5.57,0.495,0.519,0.275,0.376,61,0.19828
DP00566r001_1,6.32,0.2446,0.553,0.233,0.422,35,0.19837
DP00851r001_4,15.67,0.3576,0.553,0.162,0.516,80,0.19856
DP02879r009_4,13.14,0.1241,0.832,0.331,0.301,138,0.19887
DP02879r009_2,13.16,0.1248,0.851,0.331,0.324,138,0.19914
DP01401r001_3,16.98,0.1591,0.279,0.28,0.312,42,0.19965
DP00410r008_5,2.17,0.1719,0.338,0.191,0.356,36,0.19974
DP00806r001_3,13.15,0.1874,0.988,0.501,0.558,73,0.19987
DP01241r001_2,20.03,0.6496,0.216,0.34,0.292,136,0.19987
DP00806r001_4,13.1,0.1865,0.989,0.498,0.564,73,0.19994
DP00005r001_1,29.16,0.5273,0.319,0.299,0.384,107,0.20006
DP00806r001_1,13.13,0.1873,0.989,0.51,0.59,73,0.20046
DP02487r001_5,3.74,0.3804,0,0.316,0.242,288,0.20052
DP00806r001_2,13.09,0.1866,0.987,0.498,0.574,73,0.20053
DP00806r001_5,13.13,0.1874,0.989,0.498,0.576,73,0.20054
DP01401r001_2,17.96,0.1641,0.277,0.239,0.29,42,0.20066
DP01293r001_5,3.74,0.4507,0,0.407,0.293,120,0.20158
DP00566r001_3,4.9,0.2403,0.47,0.185,0.439,35,0.20165
DP02042r001_4,11.04,0.1779,0.464,0.188,0.429,54,0.20191
DP02042r001_5,11,0.1938,0.434,0.199,0.471,54,0.20199
DP02487r001_4,4.42,0.3647,0,0.372,0.214,288,0.20243
DP01544r001_4,4.65,0.1193,0.421,0.204,0.425,46,0.20268
DP00065r004_4,29.3,0.0779,0.293,0.516,0.296,555,0.20285
DP01401r001_1,16.9,0.1643,0.186,0.256,0.29,42,0.20313
DP01401r001_4,17.09,0.1498,0.266,0.319,0.298,42,0.20343
DP02487r001_2,3.46,0.3456,0,0.311,0.25,288,0.20346
DP00091r001_3,19.35,0.1363,0.596,0.396,0.489,84,0.20373
DP00005r001_3,31.16,0.5411,0.291,0.358,0.38,107,0.20396
DP00053r001_3,5.64,0.1954,0.85,0.532,0.738,101,0.20418
DP01425r001_5,17.06,0.1794,0.218,0.298,0.216,111,0.20436
DP00875r001_2,10.42,0.3542,0.437,0.141,0.58,52,0.20483
DP02042r001_3,11.16,0.1711,0.611,0.212,0.439,54,0.20502
DP00222r001_3,25.86,0.1237,0.103,0.215,0.107,720,0.20543
DP00053r001_1,7.99,0.1974,0.843,0.522,0.705,101,0.20569
DP01142r001_1,17.7,0.3076,0.322,0.325,0.247,257,0.20594
DP00005r001_5,30.89,0.5336,0.437,0.344,0.391,107,0.20599
DP01203r001_2,11.48,0.4022,0.747,0.374,0.401,119,0.20641
DP01144r001_3,16.87,0.5428,0.762,0.227,0.438,100,0.20667
DP01144r001_5,15.29,0.5491,0.797,0.2,0.44,100,0.20683
DP01144r001_2,15.07,0.5499,0.762,0.201,0.46,100,0.20699
DP01521r001_2,15.3,0.1914,0.194,0.313,0.157,282,0.20704
DP01144r001_4,14.56,0.5522,0.778,0.189,0.446,100,0.2071
DP01144r001_1,15.04,0.5602,0.704,0.216,0.43,100,0.20711
DP02042r001_2,10.96,0.1763,0.575,0.22,0.471,54,0.20764
DP00977r001_1,5.3,0.4842,0.762,0.272,0.442,61,0.20787
DP00913r003_4,30.9,0.1322,0.491,0.505,0.346,371,0.20922
DP01014r001_3,21.76,0.4729,0.306,0.288,0.38,89,0.20958
DP01014r001_4,22.26,0.4606,0.298,0.307,0.369,89,0.20975
DP01832r001_2,10.27,0.5177,0.633,0.376,0.432,82,0.21
DP01014r001_2,20.96,0.4714,0.32,0.258,0.373,89,0.2103
DP01014r001_1,23.82,0.429,0.317,0.32,0.354,89,0.21051
DP00053r001_5,4.37,0.1943,0.849,0.54,0.74,101,0.21055
DP01014r001_5,20.3,0.4535,0.328,0.309,0.37,89,0.21057
DP02487r002_2,4.57,0.3633,0,0.406,0.356,206,0.21084
DP00094r001_1,4.29,0.4589,0,0.14,0.484,71,0.2109
DP00084r006_5,2.78,0.3454,0.721,0.216,0.411,58,0.21116
DP02109r001_4,18.35,0.2933,0.636,0.347,0.503,60,0.21193
DP02109r001_3,18.22,0.2933,0.638,0.377,0.493,60,0.21267
DP00913r003_5,30.97,0.1327,0.493,0.496,0.359,371,0.21275
DP02109r001_1,18.4,0.2879,0.64,0.342,0.477,60,0.21334
DP02033r008_5,30.93,0.2704,0.101,0.296,0.116,956,0.21402
DP00862r001_4,12.9,0.1805,0.32,0.39,0.409,71,0.21405
DP02033r008_4,32.66,0.2496,0.1,0.292,0.108,956,0.21417
DP01241r001_5,19.47,0.6672,0.189,0.369,0.271,136,0.21451
DP00566r001_5,6.57,0.2603,0.503,0.254,0.457,35,0.21468
DP00977r001_5,5.36,0.4795,0.772,0.3,0.403,61,0.21492
DP01068r001_4,14.07,0.1488,0.722,0.395,0.307,119,0.21506
DP02536r001_1,14.58,0.1088,0.701,0.434,0.327,275,0.2154
DP00520r001_1,18.56,0.1747,0.353,0.389,0.308,217,0.21768
DP01147r001_2,18.13,0.5619,0.764,0.47,0.421,81,0.21775
DP00977r001_3,5.39,0.5011,0.772,0.263,0.421,61,0.21827
DP02513r001_5,20.85,0.1041,0.128,0.312,0.089,1408,0.21875
DP00520r001_4,14.4,0.1717,0.298,0.348,0.276,217,0.21883
DP01401r001_5,9.63,0.1452,0.205,0.169,0.294,42,0.21908
DP00196r001_4,25.37,0.4827,0.548,0.299,0.354,141,0.21909
DP02536r001_2,14.54,0.109,0.734,0.423,0.33,275,0.2192
DP00053r001_4,9.26,0.1989,0.815,0.525,0.754,101,0.21969
DP00862r001_1,12.39,0.1896,0.453,0.305,0.377,71,0.21976
DP02536r001_4,14.73,0.1095,0.717,0.424,0.36,275,0.21987
DP02109r001_2,17.26,0.2908,0.356,0.33,0.514,60,0.22007
DP00005r001_4,30.73,0.5438,0.408,0.341,0.373,107,0.22011
DP01068r001_2,17.88,0.1409,0.717,0.364,0.314,119,0.22019
DP00222r001_4,25.27,0.1594,0.103,0.267,0.1,720,0.22051
DP01256r001_4,4.52,0.4792,0,0.329,0.468,47,0.2212
DP02536r001_3,14.36,0.1086,0.672,0.441,0.308,275,0.2212
DP00754r001_4,13.5,0.237,0.373,0.228,0.418,33,0.22173
DP00754r001_1,13.67,0.2334,0.398,0.215,0.406,33,0.22196
DP01479r001_2,19.72,0.1817,0.45,0.192,0.3,35,0.22196
DP00520r001_2,17.89,0.1665,0.374,0.387,0.3,217,0.2223
DP00005r001_2,30.98,0.5336,0.418,0.343,0.372,107,0.22235
DP00520r001_5,18.21,0.1687,0.348,0.384,0.293,217,0.22235
DP01832r001_5,10.23,0.5203,0.641,0.391,0.447,82,0.22293
DP02536r001_5,14.19,0.1117,0.501,0.415,0.309,275,0.22298
DP01479r001_1,18.21,0.1761,0.448,0.142,0.385,35,0.22382
DP02505r001_5,74.91,0.3755,0.735,0.491,0.466,262,0.22448
DP02505r001_4,77.49,0.3719,0.716,0.487,0.472,262,0.2246
DP01806r001_4,3.74,0.5374,0,0.226,0.338,108,0.22529
DP00175r021_3,17.7,0.4825,0.447,0.243,0.287,130,0.22548
DP01202r001_4,17.17,0.5848,0.547,0.27,0.284,125,0.2256
DP01203r001_3,11.23,0.3982,0.813,0.351,0.389,119,0.22592
DP01479r001_5,20.22,0.1687,0.394,0.135,0.36,35,0.22609
DP02501r001_1,16.61,0.09733,0.795,0.525,0.453,232,0.22628
DP00862r001_2,12.76,0.1884,0.433,0.387,0.379,71,0.22632
DP01479r001_3,17.24,0.193,0.459,0.137,0.393,35,0.2264
DP00094r001_4,4.21,0.4785,0,0.144,0.642,71,0.22642
DP02501r001_5,16.61,0.0974,0.803,0.535,0.493,232,0.22642
DP02879r007_2,22.67,0.0756,0.189,0.4,0.225,260,0.22669
DP01256r001_3,4.49,0.5066,0,0.333,0.482,47,0.22671
DP02501r001_3,16.69,0.0962,0.813,0.537,0.459,232,0.22672
DP02501r001_4,16.73,0.0954,0.818,0.526,0.476,232,0.22713
DP02501r001_2,16.69,0.0976,0.81,0.539,0.496,232,0.22732
DP01027r001_1,4.39,0.5434,0.582,0.136,0.448,32,0.2275
DP01203r001_1,11.17,0.3759,0.782,0.373,0.342,119,0.22752
DP02505r001_3,81.83,0.3655,0.749,0.488,0.485,262,0.22754
DP00749r004_2,7.43,0.412,0.354,0.14,0.476,33,0.22775
DP00196r001_5,22.55,0.4814,0.36,0.257,0.386,141,0.22793
DP01806r001_1,3.77,0.5374,0,0.264,0.295,108,0.22807
DP00549r001_2,5.94,0.3063,0.794,0.203,0.674,35,0.2284
DP00549r001_5,5.71,0.2917,0.878,0.227,0.762,35,0.22851
DP00549r001_4,6.85,0.2976,0.768,0.24,0.775,35,0.22854
DP00196r001_1,25.44,0.4971,0.535,0.313,0.412,141,0.22859
DP00549r001_1,5.81,0.2914,0.872,0.193,0.754,35,0.22859
DP00913r003_2,30.13,0.1361,0.485,0.495,0.365,371,0.22859
DP00549r001_3,5.77,0.2964,0.862,0.203,0.802,35,0.2286
DP00990r001_4,11.37,0.1703,0.366,0.288,0.428,77,0.22875
DP00990r001_1,15.55,0.1922,0.334,0.251,0.407,77,0.22889
DP00990r001_2,16.11,0.1888,0.34,0.258,0.416,77,0.22902
DP01479r001_4,16.49,0.2046,0.442,0.137,0.383,35,0.22938
DP00196r001_2,25.76,0.4979,0.554,0.281,0.364,141,0.22962
DP00196r001_3,25.01,0.4841,0.501,0.328,0.344,141,0.2298
DP02476r001_2,7.57,0.1596,0.575,0.273,0.22,231,0.22986
DP00111r001_2,10.53,0.1617,0.291,0.134,0.335,58,0.23019
DP00990r001_3,11.85,0.16,0.361,0.316,0.334,77,0.23099
DP00222r001_5,21.53,0.1637,0.109,0.276,0.112,720,0.23109
DP00990r001_5,10.59,0.1391,0.322,0.203,0.324,77,0.23112
DP00862r001_5,12.44,0.1834,0.365,0.414,0.361,71,0.23117
DP01203r001_4,11.13,0.4178,0.637,0.343,0.409,119,0.23119
DP00065r004_2,26.2,0.0771,0.241,0.514,0.321,555,0.23128
DP02493r001_4,22.61,0.2259,0.201,0.494,0.248,217,0.23134
DP02493r001_1,17.83,0.2265,0.201,0.368,0.212,217,0.23197
DP00081r001_2,14.34,0.1655,0.657,0.288,0.484,67,0.23206
DP00999r001_5,14.24,0.2808,0.34,0.349,0.278,142,0.2325
DP02487r002_3,4.55,0.3711,0,0.399,0.334,206,0.23273
DP00541r001_1,7.72,0.484,0,0.28,0.249,257,0.23274
DP00771r001_2,13.57,0.2012,0.508,0.373,0.399,71,0.23292
DP01202r001_2,16.54,0.5757,0.514,0.324,0.306,125,0.23303
DP00520r001_3,16.74,0.1705,0.309,0.388,0.326,217,0.23326
DP00410r008_2,2.13,0.208,0.427,0.149,0.457,36,0.23371
DP00977r001_2,4.93,0.476,0.666,0.272,0.394,61,0.23392
DP00771r001_4,13.52,0.2057,0.475,0.405,0.381,71,0.23406
DP01068r001_1,14.08,0.1406,0.591,0.415,0.304,119,0.2341
DP00999r001_1,15.67,0.2684,0.329,0.38,0.284,142,0.23421
DP00053r001_2,3.76,0.1963,0.838,0.522,0.766,101,0.23443
DP02505r001_2,80.47,0.358,0.742,0.495,0.531,262,0.23493
DP00081r001_4,14.21,0.172,0.661,0.262,0.502,67,0.23497
DP00771r001_1,13.58,0.2076,0.531,0.352,0.398,71,0.23604
DP00588r001_3,2.92,0.4796,0,0.233,0.358,82,0.23607
DP01142r001_5,16.99,0.3261,0.291,0.336,0.266,257,0.23674
DP00081r001_3,14.7,0.1648,0.656,0.257,0.504,67,0.23701
DP00017r001_4,27.9,0.3493,0.313,0.262,0.219,316,0.23759
DP00749r003_3,24.75,0.0986,0.383,0.464,0.217,378,0.23769
DP00749r003_2,24.18,0.0981,0.433,0.454,0.21,378,0.23807
DP02476r001_3,7.25,0.1452,0.466,0.262,0.224,231,0.23885
DP00948r036_4,3.19,0.644,0.404,0.161,0.432,60,0.23902
DP01202r001_3,17.03,0.5912,0.424,0.31,0.285,125,0.23978
DP01202r001_5,17.41,0.5907,0.57,0.298,0.29,125,0.2399
DP00749r003_1,25.15,0.09915,0.34,0.46,0.204,378,0.23996
DP01147r001_5,18.4,0.574,0.79,0.448,0.4,81,0.24061
DP01256r001_1,4.76,0.4639,0,0.333,0.494,47,0.24088
DP01196r001_5,13.05,0.1676,0.886,0.514,0.388,193,0.24146
DP00063r001_2,17.51,0.1796,0.843,0.23,0.728,50,0.2418
DP00063r001_3,17.74,0.1865,0.872,0.205,0.881,50,0.24185
DP00063r001_1,17.67,0.1864,0.886,0.209,0.874,50,0.24196
DP02253r001_5,13.59,0.2557,0.459,0.23,0.435,56,0.24203
DP00063r001_5,17.12,0.1827,0.67,0.217,0.75,50,0.24204
DP01196r001_2,13.07,0.1668,0.885,0.533,0.4,193,0.24209
DP00063r001_4,17.69,0.1833,0.879,0.219,0.805,50,0.24222
DP00065r004_1,25.07,0.07686,0.254,0.519,0.304,555,0.24237
DP02253r001_4,15.01,0.2494,0.537,0.263,0.448,56,0.24245
DP01196r001_1,13.02,0.1678,0.881,0.531,0.392,193,0.24252
DP01196r001_4,12.98,0.1652,0.871,0.537,0.404,193,0.24256
DP02253r001_2,15.16,0.2615,0.535,0.246,0.44,56,0.24389
DP00541r001_3,7.68,0.4921,0,0.274,0.258,257,0.24397
DP01196r001_3,12.94,0.167,0.886,0.51,0.392,193,0.24433
DP02505r001_1,73.86,0.3745,0.741,0.486,0.518,262,0.24447
DP00862r001_3,12.22,0.1852,0.382,0.354,0.372,71,0.24517
DP00410r008_1,1.2,0.1866,0.37,0.146,0.472,36,0.24521
DP01147r001_3,18.08,0.5762,0.843,0.451,0.432,81,0.24526
DP02109r001_5,10.42,0.2862,0.414,0.306,0.443,60,0.24541
DP01256r001_5,4.48,0.4879,0,0.286,0.446,47,0.24557
DP01064r001_4,7.91,0.2377,0.284,0.174,0.527,44,0.24582
DP00081r001_5,14.42,0.1659,0.656,0.255,0.473,67,0.24601
DP01594r001_5,10.73,0.3027,0.426,0.323,0.328,43,0.24602
DP01594r001_4,12.76,0.2985,0.4,0.346,0.359,43,0.24606
DP00534r004_4,4.34,0.5355,0.992,0.407,0.389,131,0.24615
DP00913r003_1,30.41,0.137,0.474,0.507,0.338,371,0.24686
DP02009r001_5,9.43,0.2323,0.395,0.274,0.433,182,0.24741
DP00065r004_3,25.58,0.0776,0.289,0.521,0.324,555,0.24751
DP00749r003_5,22.97,0.0977,0.419,0.46,0.213,378,0.2477
DP00410r008_3,1.08,0.1752,0.435,0.154,0.508,36,0.24787
DP02049r002_2,7.59,0.2583,0.796,0.347,0.464,56,0.24788
DP00913r003_3,31.52,0.1368,0.477,0.5,0.352,371,0.24839
DP00749r003_4,24.84,0.0973,0.378,0.454,0.203,378,0.2487
DP01594r001_1,12.55,0.2975,0.451,0.356,0.325,43,0.24873
DP01424r001_3,8.74,0.2198,0.798,0.56,0.318,117,0.24908
DP00082r001_3,10.43,0.2394,0.885,0.423,0.358,98,0.24917
DP02253r001_3,16.71,0.2469,0.476,0.215,0.449,56,0.24974
DP01594r001_2,12.77,0.2947,0.434,0.323,0.363,43,0.2499
DP02493r001_3,19.19,0.2371,0.239,0.498,0.247,217,0.24996
DP02049r002_4,7.66,0.2638,0.791,0.363,0.452,56,0.25058
DP00082r001_2,10.33,0.2387,0.886,0.45,0.392,98,0.25066
DP01108r001_2,7.37,0.5212,0.495,0.249,0.253,149,0.25076
DP01052r001_2,12.55,0.3813,0.43,0.335,0.404,61,0.25079
DP02253r001_1,17.77,0.2534,0.496,0.211,0.41,56,0.25115
DP01594r001_3,15.12,0.2862,0.434,0.36,0.338,43,0.25121
DP02171r002_1,3.92,0.3452,0.52,0.154,0.426,33,0.2514
DP01424r001_1,8.95,0.2192,0.784,0.549,0.275,117,0.25172
DP01142r001_3,18.16,0.3037,0.355,0.301,0.249,257,0.25189
DP00222r001_2,21.78,0.175,0.106,0.243,0.119,720,0.25205
DP00307r003_3,16.54,0.1816,0.373,0.335,0.508,36,0.25231
DP00307r003_5,15.94,0.1919,0.453,0.231,0.522,36,0.25234
DP02504r003_4,21.41,0.351,0.26,0.29,0.325,256,0.25236
DP00307r003_1,13.51,0.2061,0.271,0.19,0.53,36,0.25249
DP01171r001_1,15.82,0.2932,0.614,0.363,0.379,68,0.25257
DP00307r003_2,11.76,0.1779,0.365,0.232,0.456,36,0.25262
DP01142r001_4,18.15,0.3057,0.346,0.332,0.252,257,0.25265
DP01052r001_4,13.26,0.3744,0.464,0.382,0.378,61,0.25302
DP01293r001_1,3.23,0.418,0,0.404,0.302,120,0.25302
DP02049r002_3,7.64,0.2697,0.779,0.37,0.453,56,0.25308
DP02171r002_2,4.98,0.3363,0.534,0.21,0.373,33,0.25322
DP02049r002_5,7.69,0.2565,0.701,0.359,0.484,56,0.25328
DP00566r001_2,5.42,0.2476,0.445,0.201,0.422,35,0.25333
DP00410r008_4,0.91,0.1969,0.43,0.148,0.52,36,0.25372
DP00081r001_1,14.2,0.1627,0.505,0.248,0.469,67,0.25379
DP00534r004_2,4.33,0.5402,0.993,0.356,0.406,131,0.25419
DP00307r003_4,9.5,0.2122,0.315,0.21,0.534,36,0.25444
DP00566r001_4,5.48,0.2682,0.578,0.207,0.477,35,0.25467
DP01142r001_2,18.39,0.2994,0.278,0.34,0.254,257,0.25478
DP01806r001_5,3.2,0.5755,0,0.266,0.289,108,0.2548
DP01600r001_5,23.46,0.1666,0.31,0.116,0.35,31,0.25495
DP00082r001_5,10.31,0.2373,0.886,0.442,0.368,98,0.25511
DP01169r001_1,15.71,0.1898,0.464,0.303,0.353,105,0.25547
DP02171r002_3,4.95,0.3343,0.537,0.163,0.39,33,0.25547
DP01600r001_2,15.42,0.1936,0.307,0.115,0.389,31,0.25548
DP00534r004_5,4.31,0.5418,0.994,0.383,0.399,131,0.25587
DP01600r001_3,22.77,0.1707,0.308,0.112,0.367,31,0.25626
DP00534r004_3,4.31,0.5346,0.994,0.369,0.371,131,0.2566
DP02493r001_2,19.39,0.2451,0.259,0.453,0.245,217,0.25719
DP02009r001_1,8.6,0.2019,0.387,0.284,0.3,182,0.25737
DP00082r001_1,10.79,0.2377,0.823,0.433,0.382,98,0.25756
DP01600r001_4,24.95,0.1702,0.25,0.121,0.345,31,0.25788
DP01169r001_4,19.38,0.1872,0.448,0.308,0.364,105,0.25797
DP01169r001_5,12.66,0.1849,0.433,0.277,0.343,105,0.25811
DP00534r004_1,4.32,0.5388,0.993,0.37,0.38,131,0.25824
DP01424r001_4,8.99,0.223,0.801,0.567,0.314,117,0.25836
DP02476r001_5,7.3,0.1633,0.638,0.305,0.291,231,0.25847
DP00084r006_4,0.84,0.3562,0.786,0.259,0.433,58,0.25851
DP00082r001_4,10.31,0.2386,0.889,0.438,0.368,98,0.25903
DP02171r002_5,6.44,0.3439,0.444,0.169,0.407,33,0.25957
DP02049r002_1,7.6,0.2681,0.494,0.325,0.474,56,0.26067
DP02504r003_3,17.71,0.3523,0.388,0.326,0.343,256,0.26073
DP00869r001_3,14.61,0.1922,0.432,0.235,0.332,87,0.261
DP01169r001_2,11.9,0.1806,0.46,0.283,0.374,105,0.26103
DP00447r016_2,19.43,0.3862,0.581,0.325,0.266,241,0.26143
DP01171r001_2,15.26,0.286,0.654,0.374,0.409,68,0.26153
DP00447r016_1,21.35,0.3558,0.578,0.333,0.284,241,0.26163
DP00447r016_4,20.96,0.35,0.569,0.309,0.262,241,0.26171
DP02493r001_5,19.42,0.2579,0.234,0.491,0.257,217,0.26172
DP02171r002_4,5.06,0.3355,0.482,0.183,0.408,33,0.2622
DP00851r001_1,16.51,0.3798,0.528,0.153,0.613,80,0.26221
DP01171r001_4,15.35,0.292,0.643,0.359,0.398,68,0.26227
DP00851r001_3,16.5,0.3803,0.539,0.158,0.608,80,0.26259
DP01169r001_3,14.12,0.1929,0.47,0.298,0.377,105,0.26285
DP01424r001_5,8.56,0.2282,0.788,0.566,0.358,117,0.26312
DP01147r001_1,18.54,0.6012,0.818,0.466,0.448,81,0.26371
DP00999r001_2,12.05,0.275,0.317,0.359,0.285,142,0.264
DP00447r016_5,21.37,0.3895,0.632,0.321,0.268,241,0.26415
DP00447r016_3,21.43,0.395,0.657,0.335,0.279,241,0.26475
DP01141r001_1,7.58,0.5012,0.735,0.183,0.655,29,0.26541
DP01064r001_1,10.15,0.2256,0.316,0.275,0.492,44,0.26561
DP00948r036_1,2.38,0.6764,0.555,0.197,0.359,60,0.26639
DP00249r001_1,14.32,0.287,0.985,0.663,0.56,59,0.26663
DP01825r001_5,10.01,0.2318,0.265,0.175,0.448,48,0.26669
DP00249r001_4,14.34,0.2869,0.988,0.676,0.592,59,0.26751
DP01064r001_5,10.93,0.2035,0.315,0.254,0.468,44,0.26767
DP01064r001_2,5.67,0.2399,0.313,0.212,0.436,44,0.26807
DP02476r001_1,7.27,0.1618,0.586,0.265,0.278,231,0.26809
