modelID seqlen tmalign RMSD proq4 pcons qmean DAN
DP00249r001_3 59 0.26816 14.33 0.677 0.988 0.6940000000000001 0.5760000000000001
DP00249r001_4 59 0.26750999999999997 14.34 0.6759999999999999 0.988 0.7 0.5920000000000001
DP00249r001_5 59 0.26818000000000003 14.35 0.6609999999999999 0.987 0.691 0.586
DP00250r010_1 194 0.66317 6.35 0.516 0.8290000000000001 0.527 0.3720000000000001
DP00250r010_2 194 0.66567 5.98 0.523 0.7909999999999999 0.509 0.388
DP00250r010_3 194 0.65166 7.15 0.532 0.802 0.516 0.38
DP00250r010_4 194 0.66979 6.07 0.532 0.8079999999999999 0.532 0.414
DP00250r010_5 194 0.66056 5.66 0.526 0.828 0.514 0.378
DP00251r001_1 432 0.28547 10.02 0.263 0.244 0.45399999999999996 0.163
DP00251r001_2 432 0.43618 13.02 0.293 0.373 0.42100000000000004 0.194
DP00251r001_3 432 0.43842 11.59 0.284 0.379 0.395 0.206
DP00251r001_4 432 0.43399 9.77 0.289 0.369 0.44299999999999995 0.198
DP00251r001_5 432 0.42282 11.67 0.294 0.39299999999999996 0.428 0.183
DP00262r006_1 51 0.35128000000000004 7.46 0.287 0.451 0.521 0.459
DP00262r006_2 51 0.35204 8.86 0.271 0.511 0.512 0.447
DP00262r006_3 51 0.3535 8.62 0.35 0.493 0.5579999999999999 0.44
DP00262r006_4 51 0.33089 7.43 0.309 0.5 0.531 0.467
DP00262r006_5 51 0.35486 7.95 0.29 0.51 0.537 0.463
DP00296r001_1 38 0.30741999999999997 5.28 0.247 0.9279999999999999 0.475 0.433
DP00296r001_2 38 0.3065 5.09 0.272 0.878 0.452 0.443
DP00296r001_3 38 0.30756999999999995 5.12 0.264 0.9420000000000001 0.455 0.458
DP00296r001_4 38 0.31026 5.24 0.254 0.9420000000000001 0.44799999999999995 0.478
DP00296r001_5 38 0.30529 4.99 0.33 0.904 0.44 0.434
DP00307r003_1 36 0.25249 13.51 0.19 0.271 0.384 0.53
DP00307r003_2 36 0.25261999999999996 11.76 0.232 0.365 0.444 0.456
DP00307r003_3 36 0.25231 16.54 0.335 0.373 0.523 0.508
DP00307r003_4 36 0.25444 9.5 0.21 0.315 0.381 0.534
DP00307r003_5 36 0.25234 15.94 0.231 0.45299999999999996 0.409 0.522
DP00333r001_1 417 0.66163 18.91 0.4970000000000001 0.71 0.562 0.333
DP00333r001_2 417 0.67097 18.0 0.516 0.715 0.5660000000000001 0.364
DP00333r001_3 417 0.6666300000000001 17.71 0.51 0.7090000000000001 0.557 0.36
DP00333r001_4 417 0.66979 23.79 0.516 0.715 0.5579999999999999 0.35200000000000004
DP00333r001_5 417 0.65779 19.91 0.493 0.7 0.551 0.32299999999999995
DP00340r001_1 137 0.8465799999999999 2.1 0.64 0.982 0.726 0.609
DP00340r001_2 137 0.84801 2.09 0.636 0.981 0.74 0.616
DP00340r001_3 137 0.8463799999999999 2.1 0.643 0.9840000000000001 0.731 0.5870000000000001
DP00340r001_4 137 0.8477899999999999 2.09 0.642 0.98 0.721 0.596
DP00340r001_5 137 0.84711 2.1 0.643 0.985 0.7390000000000001 0.613
DP00341r001_1 118 0.16236 4.65 0.243 0.223 0.304 0.329
DP00341r001_2 118 0.16039 4.72 0.219 0.237 0.32299999999999995 0.336
DP00341r001_3 118 0.16102 4.69 0.249 0.26899999999999996 0.35 0.312
DP00341r001_4 118 0.16114 4.04 0.246 0.26 0.41700000000000004 0.339
DP00341r001_5 118 0.16142 4.64 0.255 0.266 0.332 0.34
DP00343r001_1 71 0.29643 7.9 0.272 0.84 0.48100000000000004 0.456
DP00343r001_2 71 0.29441999999999996 7.18 0.274 0.7709999999999999 0.493 0.465
DP00343r001_3 71 0.2951 7.89 0.261 0.813 0.544 0.469
DP00343r001_4 71 0.29681 7.99 0.281 0.853 0.519 0.429
DP00343r001_5 71 0.29473 7.42 0.276 0.797 0.46799999999999997 0.458
DP00348r008_1 60 0.52642 4.2 0.514 0.9570000000000001 0.647 0.698
DP00348r008_2 60 0.52991 4.17 0.506 0.976 0.643 0.703
DP00348r008_3 60 0.53192 4.17 0.499 0.97 0.644 0.691
DP00348r008_4 60 0.53213 4.16 0.503 0.972 0.6409999999999999 0.725
DP00348r008_5 60 0.52888 4.16 0.481 0.972 0.647 0.71
DP00365r001_1 129 0.60754 9.4 0.6759999999999999 0.975 0.785 0.695
DP00365r001_2 129 0.60898 9.41 0.693 0.978 0.809 0.782
DP00365r001_3 129 0.60847 9.38 0.6970000000000001 0.975 0.813 0.838
DP00365r001_4 129 0.60831 9.42 0.69 0.978 0.816 0.7659999999999999
DP00365r001_5 129 0.6090800000000001 9.36 0.6920000000000001 0.977 0.81 0.763
DP00382r003_1 24 0.50712 3.74 0.35100000000000003 0.986 0.718 0.764
DP00382r003_2 24 0.50795 3.75 0.355 0.991 0.6829999999999999 0.7879999999999999
DP00382r003_3 24 0.50912 3.66 0.35600000000000004 0.992 0.6970000000000001 0.759
DP00382r003_4 24 0.5048600000000001 3.74 0.35 0.986 0.693 0.7759999999999999
DP00382r003_5 24 0.5091600000000001 3.66 0.36 0.993 0.7 0.769
DP00387r001_1 116 0.80009 2.61 0.564 0.948 0.7390000000000001 0.5920000000000001
DP00387r001_2 116 0.80085 2.52 0.59 0.968 0.721 0.588
DP00387r001_3 116 0.7975 2.54 0.5920000000000001 0.9640000000000001 0.7070000000000001 0.57
DP00387r001_4 116 0.79761 2.61 0.584 0.9570000000000001 0.722 0.568
DP00387r001_5 116 0.79919 2.59 0.57 0.9670000000000001 0.733 0.552
DP00410r008_1 36 0.24520999999999998 1.2 0.146 0.37 0.514 0.472
DP00410r008_2 36 0.23371 2.13 0.149 0.4270000000000001 0.475 0.457
DP00410r008_3 36 0.24786999999999998 1.08 0.154 0.435 0.532 0.508
DP00410r008_4 36 0.25372 0.91 0.14800000000000002 0.43 0.508 0.52
DP00410r008_5 36 0.19974 2.17 0.191 0.33799999999999997 0.462 0.35600000000000004
DP00423r001_1 88 0.71591 4.22 0.59 0.963 0.6559999999999999 0.584
DP00423r001_2 88 0.71949 4.2 0.607 0.948 0.653 0.5920000000000001
DP00423r001_3 88 0.71922 4.17 0.562 0.9670000000000001 0.639 0.581
DP00423r001_4 88 0.71622 4.22 0.579 0.9740000000000001 0.645 0.5760000000000001
DP00423r001_5 88 0.71882 4.26 0.569 0.968 0.645 0.578
DP00427r002_1 55 0.50851 3.73 0.383 0.8440000000000001 0.68 0.564
DP00427r002_2 55 0.49372 4.99 0.435 0.804 0.68 0.542
DP00427r002_3 55 0.5049100000000001 4.38 0.408 0.875 0.713 0.603
DP00427r002_4 55 0.50463 4.38 0.393 0.89 0.703 0.562
DP00427r002_5 55 0.50684 4.19 0.395 0.8740000000000001 0.6990000000000001 0.54
DP00447r016_1 241 0.26163000000000003 21.35 0.333 0.578 0.6141078838 0.284
DP00447r016_2 241 0.26143 19.43 0.325 0.581 0.6307053942 0.266
DP00447r016_3 241 0.26475 21.43 0.335 0.657 0.6390041493999999 0.279
DP00447r016_4 241 0.26171 20.96 0.309 0.569 0.5975103734 0.262
DP00447r016_5 241 0.26415 21.37 0.321 0.632 0.6390041493999999 0.268
DP00463r004_1 82 0.33402 14.59 0.494 0.8170000000000001 0.52 0.472
DP00463r004_2 82 0.33046 14.44 0.4920000000000001 0.818 0.517 0.458
DP00463r004_3 82 0.33587 13.98 0.523 0.765 0.507 0.51
DP00463r004_4 82 0.32835 15.02 0.517 0.688 0.4920000000000001 0.488
DP00463r004_5 82 0.32461999999999996 14.57 0.511 0.8 0.531 0.446
DP00468r001_1 66 0.37432 9.47 0.208 0.0 0.47 0.475
DP00468r001_2 66 0.37501999999999996 9.49 0.205 0.0 0.433 0.44
DP00468r001_3 66 0.37425 9.49 0.194 0.0 0.457 0.4320000000000001
DP00468r001_4 66 0.37461 9.49 0.226 0.0 0.508 0.482
DP00468r001_5 66 0.37551 9.49 0.183 0.0 0.502 0.469
DP00472r001_1 324 0.37527 12.71 0.396 0.63 0.44 0.28800000000000003
DP00472r001_2 324 0.35441999999999996 12.69 0.403 0.622 0.47600000000000003 0.237
DP00472r001_3 324 0.37579 13.67 0.385 0.498 0.426 0.257
DP00472r001_4 324 0.35973 12.85 0.403 0.616 0.433 0.26
DP00472r001_5 324 0.37322 14.94 0.398 0.526 0.39899999999999997 0.268
DP00488r001_1 51 0.32047 6.23 0.252 0.401 0.517 0.512
DP00488r001_2 51 0.33719 7.32 0.213 0.5710000000000001 0.4970000000000001 0.515
DP00488r001_3 51 0.33207 6.37 0.172 0.635 0.505 0.494
DP00488r001_4 51 0.33334 6.41 0.179 0.6559999999999999 0.532 0.505
DP00488r001_5 51 0.35672 4.57 0.18 0.537 0.512 0.564
DP00492r001_1 344 0.13879 30.06 0.241 0.13699999999999998 0.382 0.224
DP00492r001_2 344 0.13774 32.69 0.269 0.08199999999999999 0.48100000000000004 0.206
DP00492r001_3 344 0.13808 31.38 0.27 0.151 0.4320000000000001 0.232
DP00492r001_4 344 0.11977 32.35 0.248 0.14300000000000002 0.32799999999999996 0.219
DP00492r001_5 344 0.13999 33.64 0.255 0.162 0.39399999999999996 0.203
DP00518r027_1 33 0.73348 2.16 0.113 0.721 0.6920000000000001 0.847
DP00518r027_2 33 0.77991 2.41 0.115 0.865 0.755 0.872
DP00518r027_3 33 0.7821100000000001 1.44 0.119 0.8590000000000001 0.6829999999999999 0.833
DP00518r027_4 33 0.77963 2.36 0.116 0.867 0.758 0.885
DP00518r027_5 33 0.7125 3.17 0.117 0.8140000000000001 0.6659999999999999 0.835
DP00520r001_1 217 0.21768 18.56 0.389 0.353 0.304 0.308
DP00520r001_2 217 0.2223 17.89 0.387 0.374 0.275 0.3
DP00520r001_3 217 0.23326 16.74 0.388 0.309 0.247 0.326
DP00520r001_4 217 0.21883000000000002 14.4 0.348 0.298 0.42 0.276
DP00520r001_5 217 0.22235 18.21 0.384 0.348 0.295 0.293
DP00533r001_1 334 0.16032000000000002 20.22 0.292 0.253 0.337 0.23
DP00533r001_2 334 0.11875999999999999 25.22 0.29 0.225 0.37799999999999995 0.241
DP00533r001_3 334 0.13617 24.34 0.295 0.15 0.483 0.206
DP00533r001_4 334 0.1182 31.97 0.281 0.23800000000000002 0.301 0.22
DP00533r001_5 334 0.14203 20.68 0.262 0.242 0.375 0.237
DP00534r004_1 131 0.25824 4.32 0.37 0.993 0.531 0.38
DP00534r004_2 131 0.25419 4.33 0.35600000000000004 0.993 0.537 0.406
DP00534r004_3 131 0.2566 4.31 0.369 0.9940000000000001 0.56 0.371
DP00534r004_4 131 0.24615 4.34 0.407 0.992 0.5379999999999999 0.389
DP00534r004_5 131 0.25587 4.31 0.383 0.9940000000000001 0.526 0.399
DP00540r001_1 345 0.57422 25.47 0.468 0.691 0.593 0.399
DP00540r001_2 345 0.56816 20.63 0.45 0.675 0.608 0.415
DP00540r001_3 345 0.56784 24.89 0.482 0.6579999999999999 0.625 0.428
DP00540r001_4 345 0.5665100000000001 21.61 0.463 0.6509999999999999 0.614 0.384
DP00540r001_5 345 0.56848 27.63 0.4970000000000001 0.6970000000000001 0.614 0.408
DP00541r001_1 257 0.23274 7.72 0.28 0.0 0.381 0.249
DP00541r001_2 257 0.16357 7.37 0.247 0.0 0.3670000000000001 0.239
DP00541r001_3 257 0.24397 7.68 0.274 0.0 0.376 0.258
DP00541r001_4 257 0.19772 7.81 0.273 0.0 0.444 0.2
DP00541r001_5 257 0.15011 8.06 0.29100000000000004 0.0 0.302 0.256
DP00543r014_1 63 0.4793 13.0 0.334 0.728 0.5870000000000001 0.479
DP00543r014_2 63 0.47808999999999996 11.52 0.35600000000000004 0.7120000000000001 0.578 0.45
DP00543r014_3 63 0.47813999999999995 12.44 0.342 0.7090000000000001 0.564 0.461
DP00543r014_4 63 0.47728999999999994 13.66 0.344 0.693 0.5720000000000001 0.435
DP00543r014_5 63 0.47517 12.28 0.337 0.728 0.617 0.473
DP00544r003_1 120 0.4481 4.44 0.339 0.768 0.57 0.364
DP00544r003_2 120 0.5101600000000001 3.42 0.342 0.914 0.622 0.399
DP00544r003_3 120 0.45468000000000003 3.88 0.358 0.853 0.483 0.34
DP00544r003_4 120 0.5089100000000001 3.45 0.35 0.914 0.628 0.396
DP00544r003_5 120 0.5068199999999999 3.47 0.348 0.914 0.613 0.383
DP00546r001_1 129 0.46095 12.85 0.408 0.753 0.7829457364 0.524
DP00546r001_2 129 0.46485 14.52 0.395 0.762 0.7519379845 0.56
DP00546r001_3 129 0.45281000000000005 13.05 0.402 0.687 0.7596899225 0.431
DP00546r001_4 129 0.47191000000000005 9.79 0.452 0.747 0.6899224806 0.48
DP00546r001_5 129 0.47107 10.7 0.4320000000000001 0.753 0.7751937984 0.505
DP00549r001_1 35 0.22859000000000002 5.81 0.193 0.872 0.48 0.754
DP00549r001_2 35 0.2284 5.94 0.203 0.794 0.5670000000000001 0.674
DP00549r001_3 35 0.2286 5.77 0.203 0.862 0.513 0.802
DP00549r001_4 35 0.22854000000000002 6.85 0.24 0.768 0.578 0.775
DP00549r001_5 35 0.22851 5.71 0.227 0.878 0.446 0.762
DP00550r001_1 108 0.5882 7.3 0.629 0.914 0.6729999999999999 0.5379999999999999
DP00550r001_2 108 0.58637 7.33 0.618 0.9059999999999999 0.6629999999999999 0.5
DP00550r001_3 108 0.58497 7.43 0.6459999999999999 0.9420000000000001 0.6729999999999999 0.521
DP00550r001_4 108 0.5844600000000001 7.45 0.622 0.932 0.6629999999999999 0.542
DP00550r001_5 108 0.57975 7.72 0.618 0.88 0.6629999999999999 0.547
DP00563r001_1 204 0.67882 3.93 0.209 0.812 0.316 0.29
DP00563r001_2 204 0.50763 3.96 0.249 0.721 0.474 0.246
DP00563r001_3 204 0.67961 4.18 0.207 0.8029999999999999 0.35100000000000003 0.28800000000000003
DP00563r001_4 204 0.60449 3.61 0.247 0.812 0.47700000000000004 0.248
DP00563r001_5 204 0.67878 3.5 0.201 0.81 0.331 0.302
DP00566r001_1 35 0.19837 6.32 0.233 0.5529999999999999 0.395 0.422
DP00566r001_2 35 0.25333 5.42 0.201 0.445 0.447 0.422
DP00566r001_3 35 0.20165 4.9 0.185 0.47 0.387 0.439
DP00566r001_4 35 0.25467 5.48 0.207 0.578 0.439 0.477
DP00566r001_5 35 0.21468 6.57 0.254 0.503 0.41600000000000004 0.457
DP00576r004_1 188 0.38098000000000004 8.5 0.362 0.491 0.446 0.315
DP00576r004_2 188 0.3992 8.59 0.38 0.5429999999999999 0.556 0.359
DP00576r004_3 188 0.39855 10.18 0.332 0.474 0.40399999999999997 0.303
DP00576r004_4 188 0.34985 9.79 0.35600000000000004 0.44299999999999995 0.45299999999999996 0.344
DP00576r004_5 188 0.39176 9.53 0.36 0.525 0.551 0.366
DP00587r001_1 243 0.80457 2.55 0.529 0.9390000000000001 0.5870000000000001 0.458
DP00587r001_2 243 0.81033 2.34 0.516 0.9540000000000001 0.581 0.424
DP00587r001_3 243 0.81177 2.04 0.527 0.95 0.596 0.423
DP00587r001_4 243 0.8133100000000001 2.03 0.545 0.9570000000000001 0.623 0.444
DP00587r001_5 243 0.80943 2.45 0.541 0.961 0.62 0.457
DP00588r001_1 82 0.12912 2.73 0.23 0.0 0.39 0.318
DP00588r001_2 82 0.2887 2.91 0.25 0.0 0.40299999999999997 0.363
DP00588r001_3 82 0.23606999999999997 2.92 0.233 0.0 0.401 0.358
DP00588r001_4 82 0.28933000000000003 2.94 0.28300000000000003 0.0 0.39899999999999997 0.33
DP00588r001_5 82 0.32031 2.96 0.342 0.0 0.426 0.35
DP00591r001_1 701 0.59688 10.36 0.371 0.5 0.413 0.142
DP00591r001_2 701 0.85078 3.02 0.51 0.569 0.512 0.247
DP00591r001_3 701 0.6230899999999999 8.38 0.506 0.545 0.516 0.225
DP00591r001_4 701 0.59918 10.81 0.3670000000000001 0.46299999999999997 0.413 0.133
DP00591r001_5 701 0.863 2.75 0.513 0.568 0.526 0.263
DP00592r001_1 62 0.50467 4.36 0.277 0.643 0.62 0.484
DP00592r001_2 62 0.50685 4.54 0.261 0.624 0.58 0.482
DP00592r001_3 62 0.50492 4.49 0.257 0.603 0.585 0.464
DP00592r001_4 62 0.49992 3.78 0.273 0.644 0.596 0.496
DP00592r001_5 62 0.50284 3.78 0.29 0.597 0.604 0.5579999999999999
DP00621r001_1 113 0.78735 2.63 0.598 0.917 0.61 0.546
DP00621r001_2 113 0.7841600000000001 2.46 0.606 0.9229999999999999 0.597 0.5379999999999999
DP00621r001_3 113 0.78554 2.64 0.584 0.917 0.599 0.518
DP00621r001_4 113 0.76841 3.02 0.585 0.903 0.5770000000000001 0.4920000000000001
DP00621r001_5 113 0.7850699999999999 2.44 0.611 0.925 0.606 0.546
DP00624r001_1 53 0.66601 2.24 0.204 0.983 0.743 0.944
DP00624r001_2 53 0.6635800000000001 2.15 0.214 0.9670000000000001 0.677 0.826
DP00624r001_3 53 0.66685 2.26 0.189 0.988 0.78 0.971
DP00624r001_4 53 0.6661699999999999 2.25 0.184 0.988 0.7659999999999999 0.964
DP00624r001_5 53 0.66675 2.25 0.2 0.9840000000000001 0.728 0.928
DP00626r001_1 139 0.72844 7.3 0.5920000000000001 0.9420000000000001 0.5770000000000001 0.532
DP00626r001_2 139 0.72869 7.63 0.5720000000000001 0.924 0.5760000000000001 0.516
DP00626r001_3 139 0.72565 7.15 0.599 0.9420000000000001 0.583 0.516
DP00626r001_4 139 0.72783 7.23 0.5820000000000001 0.9440000000000001 0.563 0.4970000000000001
DP00626r001_5 139 0.72319 6.87 0.578 0.914 0.556 0.48
DP00628r001_1 39 0.41993 7.01 0.234 0.629 0.527 0.54
DP00628r001_2 39 0.45458000000000004 7.74 0.232 0.802 0.442 0.516
DP00628r001_3 39 0.44811999999999996 7.95 0.236 0.732 0.526 0.594
DP00628r001_4 39 0.43095 8.24 0.239 0.675 0.376 0.528
DP00628r001_5 39 0.45192 7.83 0.282 0.7709999999999999 0.52 0.569
DP00633r001_1 166 0.12648 2.3 0.234 0.28 0.335 0.313
DP00633r001_2 166 0.12505 2.41 0.229 0.226 0.408 0.289
DP00633r001_3 166 0.12227 2.42 0.245 0.184 0.532 0.246
DP00633r001_4 166 0.12032000000000001 2.59 0.241 0.251 0.428 0.29100000000000004
DP00633r001_5 166 0.12420999999999999 2.48 0.259 0.24 0.418 0.28800000000000003
DP00645r001_1 185 0.4566 2.46 0.287 0.628 0.37 0.221
DP00645r001_2 185 0.78108 1.99 0.28 0.897 0.42200000000000004 0.293
DP00645r001_3 185 0.75756 2.16 0.268 0.893 0.409 0.32
DP00645r001_4 185 0.76021 2.03 0.28800000000000003 0.8959999999999999 0.447 0.312
DP00645r001_5 185 0.7723300000000001 2.07 0.29 0.897 0.436 0.302
DP00659r001_1 153 0.12922999999999998 18.64 0.309 0.281 0.353 0.302
DP00659r001_2 153 0.12632000000000002 20.44 0.274 0.242 0.38299999999999995 0.338
DP00659r001_3 153 0.12934 22.12 0.259 0.22399999999999998 0.37799999999999995 0.35
DP00659r001_4 153 0.12875 20.93 0.267 0.244 0.36200000000000004 0.37
DP00659r001_5 153 0.1201 21.11 0.302 0.268 0.39299999999999996 0.322
DP00672r001_1 61 0.79005 1.26 0.448 0.996 0.82 0.593
DP00672r001_2 61 0.78833 1.25 0.447 0.996 0.8190000000000001 0.596
DP00672r001_3 61 0.7871600000000001 1.23 0.458 0.99 0.758 0.526
DP00672r001_4 61 0.78577 1.28 0.454 0.996 0.779 0.615
DP00672r001_5 61 0.78747 1.26 0.447 0.996 0.821 0.612
DP00673r001_1 104 0.65679 3.32 0.338 0.945 0.613 0.565
DP00673r001_2 104 0.65751 3.26 0.333 0.963 0.62 0.562
DP00673r001_3 104 0.66679 3.15 0.344 0.961 0.62 0.522
DP00673r001_4 104 0.66199 3.23 0.341 0.961 0.624 0.568
DP00673r001_5 104 0.67362 3.09 0.326 0.9079999999999999 0.6 0.521
DP00674r001_1 154 0.12477 14.62 0.161 0.215 0.31 0.326
DP00674r001_2 154 0.17225 13.77 0.163 0.257 0.318 0.377
DP00674r001_3 154 0.16642 14.78 0.172 0.217 0.315 0.373
DP00674r001_4 154 0.15585 12.8 0.195 0.21899999999999997 0.302 0.381
DP00674r001_5 154 0.1521 13.25 0.159 0.245 0.301 0.38
DP00683r003_1 184 0.40081999999999995 14.51 0.303 0.485 0.4320000000000001 0.366
DP00683r003_2 184 0.40181 16.36 0.309 0.455 0.455 0.381
DP00683r003_3 184 0.41158 15.14 0.312 0.413 0.444 0.353
DP00683r003_4 184 0.4006 14.8 0.324 0.479 0.461 0.332
DP00683r003_5 184 0.40613 13.67 0.297 0.42 0.45399999999999996 0.374
DP00694r001_1 228 0.48458999999999997 6.02 0.222 0.557 0.489 0.208
DP00694r001_2 228 0.50855 6.07 0.278 0.551 0.456 0.268
DP00694r001_3 228 0.54642 9.27 0.261 0.514 0.42200000000000004 0.238
DP00694r001_4 228 0.47722 6.11 0.219 0.634 0.46399999999999997 0.255
DP00694r001_5 228 0.51235 5.68 0.23 0.615 0.466 0.235
DP00699r001_1 406 0.55115 4.56 0.326 0.6659999999999999 0.397 0.183
DP00699r001_2 406 0.60885 4.74 0.332 0.723 0.47700000000000004 0.2
DP00699r001_3 406 0.5825199999999999 4.77 0.337 0.603 0.134 0.204
DP00699r001_4 406 0.65937 4.2 0.311 0.738 0.45299999999999996 0.198
DP00699r001_5 406 0.52593 4.1 0.34700000000000003 0.6859999999999999 0.425 0.193
DP00707r001_1 74 0.489 1.28 0.269 0.687 0.578 0.659
DP00707r001_2 74 0.48718 1.31 0.279 0.718 0.5820000000000001 0.7859999999999999
DP00707r001_3 74 0.48732 1.36 0.292 0.7 0.629 0.7390000000000001
DP00707r001_4 74 0.48978 1.27 0.277 0.72 0.6 0.8079999999999999
DP00707r001_5 74 0.48791999999999996 1.31 0.268 0.665 0.524 0.635
DP00716r001_1 279 0.74673 3.07 0.404 0.914 0.6415770609 0.314
DP00716r001_2 279 0.7457699999999999 3.06 0.394 0.894 0.6344086022000001 0.287
DP00716r001_3 279 0.74052 3.26 0.399 0.883 0.6308243728 0.298
DP00716r001_4 279 0.73205 3.11 0.396 0.897 0.6093189964 0.294
DP00716r001_5 279 0.7527 3.11 0.397 0.898 0.6057347670000001 0.292
DP00718r013_1 63 0.47539 2.18 0.435 0.762 0.47100000000000003 0.528
DP00718r013_2 63 0.46731000000000006 2.24 0.38 0.723 0.45799999999999996 0.494
DP00718r013_3 63 0.47293999999999997 2.19 0.44 0.7509999999999999 0.49 0.486
DP00718r013_4 63 0.46913 2.27 0.337 0.732 0.45 0.454
DP00718r013_5 63 0.4697 2.26 0.408 0.745 0.457 0.49
DP00718r027_1 41 0.45946000000000004 7.54 0.235 0.775 0.513 0.52
DP00718r027_2 41 0.4587 7.63 0.235 0.8270000000000001 0.57 0.542
DP00718r027_3 41 0.45779 8.05 0.233 0.741 0.526 0.5579999999999999
DP00718r027_4 41 0.45127 8.15 0.241 0.701 0.526 0.544
DP00718r027_5 41 0.45963000000000004 7.63 0.245 0.8290000000000001 0.561 0.545
DP00720r001_1 82 0.13934000000000002 15.44 0.332 0.545 0.585 0.385
DP00720r001_2 82 0.13962 15.62 0.387 0.498 0.501 0.398
DP00720r001_3 82 0.15299000000000001 14.08 0.386 0.48700000000000004 0.493 0.382
DP00720r001_4 82 0.16777999999999998 13.19 0.353 0.531 0.485 0.385
DP00720r001_5 82 0.18384 12.47 0.304 0.514 0.456 0.403
DP00721r001_1 156 0.1875 21.3 0.271 0.263 0.39799999999999996 0.318
DP00721r001_2 156 0.18866 18.3 0.302 0.218 0.483 0.249
DP00721r001_3 156 0.19085 14.45 0.268 0.239 0.408 0.326
DP00721r001_4 156 0.18381 19.99 0.28600000000000003 0.24600000000000002 0.35700000000000004 0.304
DP00721r001_5 156 0.17951 21.97 0.289 0.264 0.401 0.328
DP00724r001_1 103 0.43993000000000004 8.55 0.379 0.981 0.4970000000000001 0.414
DP00724r001_2 103 0.44298000000000004 8.5 0.36 0.981 0.501 0.417
DP00724r001_3 103 0.44343999999999995 8.53 0.359 0.9790000000000001 0.49 0.42
DP00724r001_4 103 0.43983 8.55 0.373 0.983 0.502 0.394
DP00724r001_5 103 0.44209 8.5 0.396 0.961 0.489 0.426
DP00748r009_1 56 0.41025 5.07 0.632 0.9740000000000001 0.68 0.7
DP00748r009_2 56 0.40896 5.03 0.625 0.98 0.69 0.706
DP00748r009_3 56 0.40657 5.04 0.63 0.981 0.6709999999999999 0.696
DP00748r009_4 56 0.40741 5.05 0.629 0.9690000000000001 0.679 0.7140000000000001
DP00748r009_5 56 0.4063 5.05 0.623 0.981 0.6809999999999999 0.684
DP00749r003_1 378 0.23776999999999998 25.13 0.46 0.34 0.35600000000000004 0.204
DP00749r003_2 378 0.23558 24.16 0.454 0.433 0.366 0.21
DP00749r003_3 378 0.2359 24.73 0.464 0.38299999999999995 0.368 0.217
DP00749r003_4 378 0.24636999999999998 24.82 0.454 0.37799999999999995 0.365 0.203
DP00749r003_5 378 0.24470999999999998 22.94 0.46 0.419 0.375 0.213
DP00749r004_1 33 0.18403 6.76 0.124 0.33899999999999997 0.373 0.5760000000000001
DP00749r004_2 33 0.22775 7.43 0.14 0.354 0.28600000000000003 0.476
DP00749r004_3 33 0.18520999999999999 4.24 0.151 0.273 0.418 0.64
DP00749r004_4 33 0.1831 6.94 0.14300000000000002 0.4970000000000001 0.366 0.67
DP00749r004_5 33 0.18319000000000002 4.18 0.149 0.47700000000000004 0.433 0.479
DP00752r001_1 71 0.16235 10.43 0.659 0.977 0.6809999999999999 0.62
DP00752r001_2 71 0.16272 10.43 0.6759999999999999 0.971 0.708 0.706
DP00752r001_3 71 0.1626 10.43 0.669 0.98 0.6759999999999999 0.644
DP00752r001_4 71 0.16212000000000001 10.47 0.654 0.965 0.6829999999999999 0.7040000000000001
DP00752r001_5 71 0.16254000000000002 10.44 0.67 0.975 0.6920000000000001 0.647
DP00753r001_1 81 0.17793 17.32 0.652 0.975 0.67 0.61
DP00753r001_2 81 0.17670999999999998 17.33 0.662 0.988 0.6659999999999999 0.628
DP00753r001_3 81 0.17628 17.3 0.662 0.988 0.672 0.5920000000000001
DP00753r001_4 81 0.17681 17.3 0.659 0.98 0.664 0.633
DP00753r001_5 81 0.17595 17.31 0.648 0.982 0.6609999999999999 0.613
DP00753r004_1 69 0.46258999999999995 5.69 0.6579999999999999 0.94 0.7170000000000001 0.632
DP00753r004_2 69 0.46568999999999994 5.7 0.642 0.9620000000000001 0.723 0.594
DP00753r004_3 69 0.46675 5.73 0.653 0.9359999999999999 0.718 0.608
DP00753r004_4 69 0.46718000000000004 5.64 0.654 0.958 0.711 0.621
DP00753r004_5 69 0.46611 5.66 0.637 0.956 0.706 0.594
DP00754r001_1 33 0.21595999999999999 13.37 0.215 0.39799999999999996 0.38 0.406
DP00754r001_2 33 0.16925 13.87 0.235 0.389 0.42 0.465
DP00754r001_3 33 0.20820999999999998 13.15 0.214 0.413 0.345 0.447
DP00754r001_4 33 0.22535 13.05 0.228 0.373 0.43799999999999994 0.418
DP00754r001_5 33 0.5601 4.12 0.125 0.27899999999999997 0.354 0.476
DP00765r002_1 41 0.43577 1.34 0.275 0.649 0.605 0.562
DP00765r002_2 41 0.43073 1.32 0.273 0.649 0.595 0.556
DP00765r002_3 41 0.41788000000000003 1.41 0.229 0.6579999999999999 0.5579999999999999 0.424
DP00765r002_4 41 0.43007 1.31 0.293 0.652 0.624 0.526
DP00765r002_5 41 0.43575 1.31 0.249 0.601 0.511 0.517
DP00771r001_1 71 0.23604 13.58 0.35200000000000004 0.531 0.439 0.398
DP00771r001_2 71 0.23292 13.57 0.373 0.508 0.48100000000000004 0.399
